SEMESTER,DEPARTMENT,NAME,COURSE NUMBER,SECTION,# GRADES,AVE. GPA,A,AB,B,BC,C,D,F,S,U,CR,C,P,I,NW,NR,OTHER
2015-2016 Fall,cs,Intro-Artificl Intelligence,540,003,55,3.340,23.6,21.8,30.9,7.3,1.8,NULL,NULL,1.8,NULL,NULL,NULL,NULL,5.5,NULL,7.3,NULL
2015-2016 Fall,cs,Intro-Artificl Intelligence,540,004,31,3.161,35.5,19.4,16.1,19.4,3.2,3.2,3.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016 Fall,cs,Intro-Artificl Intelligence,540,005,65,3.461,33.8,33.8,27.7,1.5,NULL,NULL,1.5,NULL,NULL,NULL,NULL,NULL,NULL,1.5,NULL,NULL
2015-2016 Fall,cs,Intro-Artificl Intelligence,540,NULL,287,3.248,30.7,20.6,27.2,8.0,5.9,2.1,1.0,0.3,NULL,NULL,NULL,NULL,1.7,0.3,2.1,NULL
2015-2016 Fall,cs,Intro-Computer Architecture,552,001,14,2.536,7.1,14.3,28.6,7.1,35.7,NULL,7.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016 Fall,cs,Computer Graphics,559,001,56,2.893,19.6,19.6,30.4,8.9,12.5,3.6,5.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016 Fall,cs,Database Mgt Systems,564,001,64,3.214,23.4,28.1,31.3,12.5,3.1,NULL,1.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016 Fall,cs,Database Mgt Systems,564,002,47,3.343,29.8,29.8,27.7,8.5,4.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016 Fall,cs,Database Mgt Systems,564,NULL,111,3.268,26.1,28.8,29.7,10.8,3.6,NULL,0.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016 Fall,cs,Introduction to Bioinformatics,576,001,50,2.989,30.0,18.0,12.0,12.0,8.0,4.0,6.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10.0,NULL
2015-2016 Fall,cs,Introduction to Algorithms,577,001,94,3.000,28.7,16.0,12.8,16.0,22.3,3.2,NULL,1.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016 Fall,cs,Introduction to Algorithms,577,002,87,2.988,24.1,11.5,21.8,20.7,16.1,2.3,NULL,3.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016 Fall,cs,Introduction to Algorithms,577,NULL,181,2.994,26.5,13.8,17.1,18.2,19.3,2.8,NULL,2.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016 Fall,cs,Undergrad Topics-Computing,638,001,49,NULL,NULL,NULL,NULL,NULL,NULL,NULL,87.8,12.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016 Fall,cs,Intro to Computer Networks,640,001,69,3.094,26.1,23.2,27.5,7.2,7.2,8.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016 Fall,cs,Senior Honors Thesis,681,090,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016 Fall,cs,Senior Honors Thesis,681,112,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016 Fall,cs,Senior Honors Thesis,681,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016 Fall,cs,Senior Honors Thesis,682,003,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016 Fall,cs,Senior Honors Thesis,682,013,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016 Fall,cs,Senior Honors Thesis,682,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016 Fall,cs,Directed Study,699,004,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016 Fall,cs,Directed Study,699,005,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016 Fall,cs,Directed Study,699,006,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016 Fall,cs,Directed Study,699,008,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016 Fall,cs,Directed Study,699,018,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016 Fall,cs,Directed Study,699,029,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016 Fall,cs,Directed Study,699,082,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016 Fall,cs,Directed Study,699,090,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016 Fall,cs,Directed Study,699,097,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016 Fall,cs,Directed Study,699,101,10,4.000,100.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015-2016 Fall,cs,Directed Study,699,NULL,25,3.957,96.0,4.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
